Date,Company/Brand,Founded,HeadQuarter,Founders,Investor,Amount($),Stage,Year,Sector,NumFounders,total_investors
2019-10-05,Witblox,2014,Bangalore,['Amit Modi'],Mumbai Angels Network,182700.0,Series A,2019,Education,1,1
2019-10-06,Ninjacart,2015,Bangalore,"['Thirukumaran Nagarajanin', ' Vasudevan Chinnathambi']","Walmart, Flipkart",6000000.0,Series A,2019,E-Commerce,2,2
2019-10-07,Springboard,2013,Bangalore,"['Gautam Tambay', ' Parul Gupta']",Reach Capital,11000000.0,Post series A,2019,Education,2,1
2019-10-13,Nivesh.com,2016,Noida,"['Anurag Garg', ' Sridhar Srinivasan']",Windrose Capital,600000.0,Series A,2019,Finance,2,1
2019-10-17,Bijak,2019,Bangalore,"['Nukul Upadhye', ' Mahesh Jakhotia', ' Jitender Bedwal', ' Daya Rai', ' Nikhil Tripathi']","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed fund,2019,Technology,5,2
2019-10-17,Nu Genes,2004,Telangana,['Narayana Reddy Punyala'],Innovation in Food and Agriculture (IFA),6000000.0,Series A,2019,Technology,1,1
2019-10-22,Purplle,2012,Mumbai,"['Manish Taneja', ' Rahul Dash']",Goldman Sachs,30000000.0,Series C,2019,Wellness/Beauty,2,1
2019-10-23,Spinny,2015,Delhi,"['Niraj Singh', ' Ramanshu Mahaur', ' Ganesh Pawar', ' Mohit Gupta']","Norwest Venture Partners, General Catalyst, Fundamentum, Accel Partners",50000000.0,Series A,2019,Automotive,4,4
2019-10-27,truMe,2015,Bangalore,"['Babu Dayal', ' Pramod Uniyal', ' Lalit Mehta']",Rajan Kaistha,140000.0,Series A,2019,Technology,3,1
2019-11-01,Trell,2016,Bangalore,"['Pulkit Agrawal', ' Prashant Sachan', ' Arun Lodhi', ' Bimal Kartheek Rebba']","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre series A,2019,Media/Entertainment,4,4
2019-11-12,Bombay Shirt Company,2012,Mumbai,['Akshay Narvekar'],Lightbox Ventures,8000000.0,Series A,2019,E-Commerce,1,1
2019-11-17,Pumpkart,2014,Chandigarh,['KS Bhatia'],Dinesh Dua,6000000.0,Series A,2019,E-Commerce,1,1
2019-11-18,Ess Kay Fincorp,2015,Rajasthan,['Rajendra Setia'],"TPG, Norwest Venture Partners, Evolvence India",33000000.0,Series A,2019,Finance,1,3
2019-12-02,Zolostays,2015,Bangalore,"['Akhil Sikri', ' Nikhil Sikri', ' Sneha Choudhry']",Trifecta Capital,7000000.0,Series A,2019,Real Estate,3,1
2019-12-03,Kratikal,2015,Uttar pradesh,['Pavan Kushwaha'],"Gilda VC, Art Venture, Rajeev Chitrabhanu",1000000.0,Pre-series A,2019,Technology,1,3
2019-12-07,Binca Games,2014,Mumbai,"['Rubianca Wadhwa', ' Sahil Wadhwa']",Sunil Gavaskar,6000000.0,Series A,2019,Gaming,2,1
2019-12-10,Ecozen,2015,Pune,"['Devendra Gupta', ' Prateek Singhal', ' Vivek Pandey']",Innovation in Food & Agriculture Fund (IFA Fund),6000000.0,Series A,2019,Technology,3,1
2019-12-12,Infra.Market,2015,Mumbai,"['Aaditya Sharda', ' Souvik Sengupta']","Tiger Global, Nexus Venture Partners, Accel Partners, Dhruv Agarwala",20000000.0,Series A,2019,Technology,2,4
2019-12-13,Rein Games,2015,Noida,"['Vaibhav Gupta', ' Himanshu Devra', ' Pranav Chaudhary', ' Nishtha Gupta']","Manipal Education and Medical Group (MEMG) family office, Titan Capital",50000000.0,Pre series A,2019,Technology,4,2
2019-12-14,Zoomcar,2013,Bangalore,"['Greg Moran', ' David Back']",Zoomcar Inc,4800000.0,Series A,2019,Logistics,2,1
2019-12-22,PiBeam,2015,Chennai,['Visakh Sasikumar'],GAIL (India) Ltd,50000000.0,Series A,2019,Automotive,1,1
2019-12-23,Smart Institute,2015,Surat,"['Vivek Gupta', ' Abhay Hanjura']",HNI investors,1500000.0,Series A,2019,Education,2,1
2019-12-27,Freshokartz,2016,Jaipur,['Rajendra Lora'],ThinkLab,150000.0,Pre series A,2019,E-Commerce,1,1
2019-12-27,Euler Motors,2015,Delhi,['Saurav Kumar'],"Blume Ventures, Emergent Ventures",2000000.0,Series A,2019,Automotive,1,2
2019-12-31,IndyFint,2019,Bangalore,['Paddy Padmanabhan'],Saravanan Adiseshan,2100000.0,Series A,2019,FinTech,1,1
