Date,Company/Brand,Stage,Amount($),Year,Founded,HeadQuarter,Sector
2018-06-08,Virtual MetalStreet(MetalStreet),Angel,700000.0,2018,2016,Bangalore,E-Commerce
2018-06-09,Lendbox,Seed,60000000.0,2018,2016,Delhi,Finance
2018-06-09,TECHBOOZE,Seed,100000.0,2018,2016,Delhi,Education
2018-06-10,srJna,Seed,5800000.0,2018,2016,Jaipur,Education
2018-06-10,Happyeasygo Group,Series A,5800000.0,2018,2016,Haryana,Logistics
2018-06-10,ION Energy,Venture - Series Unknown,1041000.0,2018,2016,Mumbai,Energy
2018-06-11,BhaskarGuru,Seed,1000000.0,2018,2016,Bhopal,Other
2018-06-13,Fixpocket,Seed,250000.0,2018,2016,Ahmedabad,Media/Entertainment
2018-06-14,HealthPlix,Series A,3000000.0,2018,2016,Bangalore,Automotive
2018-06-14,Corefactors,Seed,5800000.0,2018,2016,Bangalore,Finance
2018-06-15,alphaics Corporation,Seed,5800000.0,2018,2016,Bangalore,Technology
2018-06-19,Clensta,Seed,5800000.0,2018,2016,Delhi,Automotive
2018-06-19,NoPaperForms Solutions Pvt. Ltd.,Series B,3980000.0,2018,2016,Delhi,Education
2018-06-19,DRIVEU,Venture - Series Unknown,70000000.0,2018,2016,Bangalore,Logistics
2018-06-20,Upwards Fintech,Series A,5000000.0,2018,2016,Mumbai,Finance
2018-06-21,Satya MicroCapital,Venture - Series Unknown,400000000.0,2018,2016,Delhi,Finance
2018-06-22,Kobster,Seed,5800000.0,2018,2016,Chennai,E-Commerce
2018-06-22,Inc42,Seed,5800000.0,2018,2016,Delhi,Media/Entertainment
2018-06-22,iChamp,Seed,5000000.0,2018,2016,Gurugram,Education
2018-06-25,Simulanis,Seed,500000.0,2018,2016,Delhi,Wellness/Beauty
2018-06-26,Mech Mocha,Series B,3530000.0,2018,2016,Bangalore,Gaming
2018-06-26,Pandorum Technologies,Series A,3600000.0,2018,2016,Bangalore,Healthcare
2018-06-26,Log 9 Materials,Seed,30000000.0,2018,2016,Uttar Pradesh,Technology
2018-06-26,Be U Salons,Seed,30000000.0,2018,2016,Delhi,Consumer Services
